Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;01 Andalucía;;Paraguay;Todas las edades;Total;1 de enero de 2019;10.602
Total Nacional;01 Andalucía;;Perú;Todas las edades;Total;1 de enero de 2019;4.255
Total Nacional;01 Andalucía;;Uruguay;Todas las edades;Total;1 de enero de 2019;1.702
Total Nacional;01 Andalucía;;Venezuela;Todas las edades;Total;1 de enero de 2019;10.063
Total Nacional;01 Andalucía;;Resto de Nacionalidades de América del Sur;Todas las edades;Total;1 de enero de 2019;2
Total Nacional;01 Andalucía;;De Asia;Todas las edades;Total;1 de enero de 2019;39.856
Total Nacional;01 Andalucía;;Arabia Saudí;Todas las edades;Total;1 de enero de 2019;142
Total Nacional;01 Andalucía;;Bangladesh;Todas las edades;Total;1 de enero de 2019;743
Total Nacional;01 Andalucía;;China;Todas las edades;Total;1 de enero de 2019;22.305
Total Nacional;01 Andalucía;;Corea;Todas las edades;Total;1 de enero de 2019;227
Total Nacional;01 Andalucía;;Filipinas;Todas las edades;Total;1 de enero de 2019;2.613
Total Nacional;01 Andalucía;;India;Todas las edades;Total;1 de enero de 2019;2.257
Total Nacional;01 Andalucía;;Indonesia;Todas las edades;Total;1 de enero de 2019;154
Total Nacional;01 Andalucía;;Irán;Todas las edades;Total;1 de enero de 2019;1.466
Total Nacional;01 Andalucía;;Iraq;Todas las edades;Total;1 de enero de 2019;311
Total Nacional;01 Andalucía;;Israel;Todas las edades;Total;1 de enero de 2019;273
Total Nacional;01 Andalucía;;Japón;Todas las edades;Total;1 de enero de 2019;653
Total Nacional;01 Andalucía;;Jordania;Todas las edades;Total;1 de enero de 2019;217
Total Nacional;01 Andalucía;;Kazajstán;Todas las edades;Total;1 de enero de 2019;297
Total Nacional;01 Andalucía;;Líbano;Todas las edades;Total;1 de enero de 2019;228
Total Nacional;01 Andalucía;;Nepal;Todas las edades;Total;1 de enero de 2019;144
Total Nacional;01 Andalucía;;Pakistán;Todas las edades;Total;1 de enero de 2019;4.621
Total Nacional;01 Andalucía;;Siria;Todas las edades;Total;1 de enero de 2019;1.498
Total Nacional;01 Andalucía;;Tailandia;Todas las edades;Total;1 de enero de 2019;288
Total Nacional;01 Andalucía;;Vietnam;Todas las edades;Total;1 de enero de 2019;191
Total Nacional;01 Andalucía;;Resto de Nacionalidades Asiáticas;Todas las edades;Total;1 de enero de 2019;1.228
Total Nacional;01 Andalucía;;De Oceanía;Todas las edades;Total;1 de enero de 2019;524
Total Nacional;01 Andalucía;;Australia;Todas las edades;Total;1 de enero de 2019;416
Total Nacional;01 Andalucía;;Nueva Zelanda;Todas las edades;Total;1 de enero de 2019;101
Total Nacional;01 Andalucía;;Resto de Nacionalidades de Oceanía;Todas las edades;Total;1 de enero de 2019;7
Total Nacional;01 Andalucía;;Apátridas;Todas las edades;Total;1 de enero de 2019;312
Total Nacional;01 Andalucía;04 Almería;Extranjera;Todas las edades;Total;1 de enero de 2019;145.908
Total Nacional;01 Andalucía;04 Almería;Europa (sin España);Todas las edades;Total;1 de enero de 2019;57.278
Total Nacional;01 Andalucía;04 Almería;Alemania;Todas las edades;Total;1 de enero de 2019;1.493
Total Nacional;01 Andalucía;04 Almería;Austria;Todas las edades;Total;1 de enero de 2019;67
Total Nacional;01 Andalucía;04 Almería;Bélgica;Todas las edades;Total;1 de enero de 2019;1.232
Total Nacional;01 Andalucía;04 Almería;Bulgaria;Todas las edades;Total;1 de enero de 2019;2.401
Total Nacional;01 Andalucía;04 Almería;Chipre;Todas las edades;Total;1 de enero de 2019;1
Total Nacional;01 Andalucía;04 Almería;Croacia;Todas las edades;Total;1 de enero de 2019;11
Total Nacional;01 Andalucía;04 Almería;Dinamarca;Todas las edades;Total;1 de enero de 2019;82
Total Nacional;01 Andalucía;04 Almería;Eslovenia;Todas las edades;Total;1 de enero de 2019;10
Total Nacional;01 Andalucía;04 Almería;Estonia;Todas las edades;Total;1 de enero de 2019;13
Total Nacional;01 Andalucía;04 Almería;Finlandia;Todas las edades;Total;1 de enero de 2019;24
Total Nacional;01 Andalucía;04 Almería;Francia;Todas las edades;Total;1 de enero de 2019;1.432
Total Nacional;01 Andalucía;04 Almería;Grecia;Todas las edades;Total;1 de enero de 2019;16
Total Nacional;01 Andalucía;04 Almería;Hungría;Todas las edades;Total;1 de enero de 2019;126
Total Nacional;01 Andalucía;04 Almería;Irlanda;Todas las edades;Total;1 de enero de 2019;366
Total Nacional;01 Andalucía;04 Almería;Italia;Todas las edades;Total;1 de enero de 2019;1.498
Total Nacional;01 Andalucía;04 Almería;Letonia;Todas las edades;Total;1 de enero de 2019;24
Total Nacional;01 Andalucía;04 Almería;Lituania;Todas las edades;Total;1 de enero de 2019;2.142
Total Nacional;01 Andalucía;04 Almería;Luxemburgo;Todas las edades;Total;1 de enero de 2019;11
Total Nacional;01 Andalucía;04 Almería;Malta;Todas las edades;Total;1 de enero de 2019;5
Total Nacional;01 Andalucía;04 Almería;Países Bajos;Todas las edades;Total;1 de enero de 2019;855
Total Nacional;01 Andalucía;04 Almería;Polonia;Todas las edades;Total;1 de enero de 2019;399
Total Nacional;01 Andalucía;04 Almería;Portugal;Todas las edades;Total;1 de enero de 2019;441
Total Nacional;01 Andalucía;04 Almería;República Checa;Todas las edades;Total;1 de enero de 2019;73
