Sexo;Comunidades y ciudades autónomas de destino;Comunidades y ciudades autónomas de origen;Periodo;Total
Ambos sexos;19 Melilla;10 Comunitat Valenciana;2021;81
Ambos sexos;19 Melilla;11 Extremadura;2021;26
Ambos sexos;19 Melilla;12 Galicia;2021;30
Ambos sexos;19 Melilla;13 Madrid, Comunidad de;2021;158
Ambos sexos;19 Melilla;14 Murcia, Región de;2021;46
Ambos sexos;19 Melilla;15 Navarra, Comunidad Foral de;2021;16
Ambos sexos;19 Melilla;16 País Vasco;2021;14
Ambos sexos;19 Melilla;17 Rioja, La;2021;2
Ambos sexos;19 Melilla;18 Ceuta;2021;50
Ambos sexos;19 Melilla;19 Melilla;2021;""
